tol_knr,pre_knr,tol_lr,pre_lr,tol_dtr,pre_dtr,tol_abr,pre_abr,tol_rfr,pre_rfr,tol_etr,pre_etr,tol_gbr,pre_gbr,tol_mlpr,pre_mlpr,tol_vr,pre_vr,tol_sr,pre_sr,tol_etr_simp,pre_etr_simp
0.0,0.0,0.0,0.0,0.0,14.821591948764867,0.0,0.09149130832570906,0.0,0.0,0.0,23.14730100640439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.14730100640439
0.2,2.7447392497712717,0.2,3.568161024702653,0.2,20.768526989935957,0.2,2.3787740164684354,0.2,10.064043915827996,0.2,62.30558096980787,0.2,6.1299176578225065,0.2,2.7447392497712717,0.2,17.108874656907595,0.2,8.69167429094236,0.2,62.30558096980787
0.4,4.757548032936871,0.4,7.044830741079597,0.4,26.166514181152788,0.4,5.763952424519671,0.4,19.853613906678866,0.4,68.89295516925891,0.4,11.893870082342177,0.4,5.3064958828911255,0.4,34.76669716376944,0.4,14.913083257090577,0.4,68.89295516925891
0.6,6.953339432753888,0.6,10.155535224153706,0.6,31.2900274473925,0.6,8.508691674290942,0.6,30.00914913083257,0.6,74.83989021043,0.6,17.200365965233303,0.6,9.057639524245197,0.6,49.862763037511435,0.6,24.42817932296432,0.6,74.83989021043
0.8,9.149130832570906,0.8,13.357731015553522,0.8,35.4071363220494,0.8,11.71088746569076,0.8,40.34766697163769,0.8,77.7676120768527,0.8,24.153705397987192,0.8,12.351326623970722,0.8,59.83531564501372,0.8,30.100640439158283,0.8,77.7676120768527
1.0,12.168344007319305,1.0,17.56633119853614,1.0,40.16468435498627,1.0,15.55352241537054,1.0,48.307410795974384,1.0,80.32936870997254,1.0,30.19213174748399,1.0,15.370539798719122,1.0,67.06312900274473,1.0,37.236962488563584,1.0,80.32936870997254
1.2,13.72369624885636,1.2,21.134492223238794,1.2,44.09881061299177,1.2,17.749313815187556,1.2,55.718206770356815,1.2,82.06770356816102,1.2,35.86459286367795,1.2,19.12168344007319,1.2,71.7291857273559,1.2,42.817932296431835,1.2,82.06770356816102
1.4000000000000001,15.64501372369625,1.4000000000000001,24.794144556267156,1.4000000000000001,48.39890210430009,1.4000000000000001,20.40256175663312,1.4000000000000001,61.75663311985361,1.4000000000000001,83.34858188472096,1.4000000000000001,41.3540713632205,1.4000000000000001,21.408966148215917,1.4000000000000001,76.39524245196706,1.4000000000000001,49.95425434583714,1.4000000000000001,83.34858188472096
1.6,18.115279048490393,1.6,28.179322964318388,1.6,52.424519670631284,1.6,23.2387923147301,1.6,66.6056724611162,1.6,84.44647758462946,1.6,47.483989021043,1.6,24.794144556267156,1.6,79.50594693504117,1.6,55.26075022872827,1.6,84.44647758462946
1.8000000000000003,19.853613906678866,1.8000000000000003,31.655992680695334,1.8000000000000003,54.80329368709973,1.8000000000000003,25.89204025617566,1.8000000000000003,69.7163769441903,1.8000000000000003,85.36139066788655,1.8000000000000003,52.24153705397987,1.8000000000000003,27.355901189387012,1.8000000000000003,81.51875571820678,1.8000000000000003,59.28636779505947,1.8000000000000003,85.36139066788655
2.0,22.2323879231473,2.0,35.315645013723696,2.0,58.188472095150956,2.0,28.179322964318388,2.0,73.37602927721866,2.0,86.55077767612077,2.0,56.907593778591036,2.0,31.381518755718208,2.0,83.53156450137237,2.0,63.76944190301921,2.0,86.55077767612077
2.1999999999999997,24.794144556267156,2.1999999999999997,39.24977127172918,2.1999999999999997,61.48215919487649,2.1999999999999997,30.741079597438244,2.1999999999999997,76.57822506861848,2.1999999999999997,87.37419945105215,2.1999999999999997,60.5672461116194,2.1999999999999997,33.3028362305581,2.1999999999999997,85.45288197621225,2.1999999999999997,67.33760292772186,2.1999999999999997,87.37419945105215
2.4,27.08142726440988,2.4,42.086001829826166,2.4,64.6843549862763,2.4,32.38792314730101,2.4,79.32296431838975,2.4,88.10612991765782,2.4,64.31838975297347,2.4,36.04757548032937,2.4,87.09972552607502,2.4,70.35681610247026,2.4,88.10612991765782
2.6,29.185727355901193,2.6,45.83714547118024,2.6,67.06312900274473,2.6,36.230558096980786,2.6,82.15919487648674,2.6,89.02104300091491,2.6,67.612076852699,2.6,38.88380603842635,2.6,88.28911253430924,2.6,73.83348581884721,2.6,89.02104300091491
2.8000000000000003,31.015553522415367,2.8000000000000003,48.76486733760293,2.8000000000000003,69.07593778591034,2.8000000000000003,37.96889295516926,2.8000000000000003,84.08051235132662,2.8000000000000003,90.11893870082342,2.8000000000000003,70.7227813357731,2.8000000000000003,41.171088746569076,2.8000000000000003,89.38700823421775,2.8000000000000003,77.03568161024702,2.8000000000000003,90.11893870082342
3.0,34.49222323879231,3.0,51.05215004574566,3.0,71.36322049405307,3.0,39.24977127172918,3.0,85.9103385178408,3.0,91.21683440073193,3.0,74.10795974382434,3.0,43.732845379688925,3.0,89.75297346752058,3.0,79.59743824336688,3.0,91.21683440073193
3.2,36.96248856358646,3.2,52.79048490393413,3.2,73.6505032021958,3.2,42.17749313815188,3.2,87.55718206770356,3.2,91.58279963403476,3.2,77.67612076852699,3.2,46.29460201280878,3.2,90.8508691674291,3.2,81.42726440988106,3.2,91.58279963403476
3.4000000000000004,38.426349496797805,3.4000000000000004,55.62671546203111,3.4000000000000004,75.7548032936871,3.4000000000000004,44.4647758462946,3.4000000000000004,89.02104300091491,3.4000000000000004,92.04025617566332,3.4000000000000004,79.6889295516926,3.4000000000000004,49.03934126258005,3.4000000000000004,91.67429094236049,3.4000000000000004,83.34858188472096,3.4000000000000004,92.04025617566332
