Date,Year,MW,Holiday,Temp_avg,Temp_max,Temp_min,hPa,Hum,Visibility,Wind_avg,Wind_max,Rain,Storm,Fog,Day,Month,Day_Friday,Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday,Month_April,Month_August,Month_December,Month_February,Month_January,Month_July,Month_June,Month_March,Month_May,Month_November,Month_October,Month_September,MW_pred_knr,MW_pred_lr,MW_pred_dtr,MW_pred_abr,MW_pred_rfr,MW_pred_etr,MW_pred_gbr,MW_pred_mlpr,MW_pred_vr,MW_pred_sr,MW_pred_etr_simp
2017-01-17,2017,1953.0,0,26.3,33.0,22.7,1005.3,74.0,10.0,10.7,20.6,0,0,0,Tuesday,January,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1861.35,1840.818359375,1953.0,1899.5151515151515,1935.04,1953.0,1964.9102078424735,1861.8867248678139,1944.02,2110.49,1953.0
2017-01-18,2017,1920.0,0,25.6,33.3,22.0,1009.4,58.0,10.0,17.4,24.1,0,0,0,Wednesday,January,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1812.4,1874.537109375,1878.25,1914.048,1881.47,1919.3295454545455,1884.3597318767281,1885.563274009955,1900.3997727272726,1891.36,1919.7679144385027
2017-01-19,2017,2008.0,0,26.7,31.0,23.5,1014.3,68.0,10.0,16.5,27.8,0,0,0,Thursday,January,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1950.6,1905.267578125,2049.0,1925.8150943396226,2015.38,1998.4,1982.1556294756654,1907.638460452561,2006.89,1943.94,2039.4363636363637
2017-01-20,2017,2084.0,0,27.6,30.5,24.5,1016.8,63.0,10.0,16.1,27.8,0,0,0,Friday,January,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1924.85,1918.1796875,2084.0,2002.6554307116105,2058.84,2084.0,2021.5221540754744,1914.8365105084042,2071.42,2095.66,2084.0
2017-01-21,2017,2018.0,0,27.9,31.0,25.0,1016.4,66.0,10.0,15.6,22.2,0,0,0,Saturday,January,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1926.7,1810.48828125,2018.0,2040.4808510638297,2039.04,2018.0,2014.2113754926174,1809.0143887639738,2028.52,1979.86,2018.0
2017-01-22,2017,1752.0,0,27.4,31.5,24.8,1014.4,67.0,10.0,15.0,33.5,0,0,0,Sunday,January,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1919.55,1634.59375,1752.0,1836.9375,1755.15,1752.0,1775.822311357193,1712.5550817059493,1753.575,1747.005,1752.0
2017-01-23,2017,1934.0,0,26.6,29.0,24.7,1014.2,65.0,10.0,18.9,38.9,0,0,0,Monday,January,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1890.65,1849.244140625,1979.6,1951.0246913580247,1972.69,1934.0,1961.2976333826753,1836.4338972325972,1953.345,2001.71,1934.0
2017-01-24,2017,1897.0,0,27.5,32.0,20.0,1008.4,64.0,9.7,14.6,40.7,1,1,0,Tuesday,January,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1796.1,1856.6484375,1831.3333333333333,1865.421052631579,1898.79,1896.9409090909091,1879.3291680166046,1831.8938878446454,1897.8654545454547,1910.27,1896.9770053475936
2017-01-25,2017,1708.0,0,21.6,32.5,18.0,1013.1,58.0,10.0,16.1,20.6,1,0,0,Wednesday,January,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1696.5,1844.14453125,1709.9872611464968,1693.7925531914893,1707.8570893329118,1704.7071897915848,1723.1653698569594,1865.4970905979903,1706.2821395622482,1731.2311111111112,1709.73101010101
2017-01-26,2017,1682.0,0,19.0,24.0,14.0,1020.5,48.0,10.0,14.3,22.2,0,0,0,Thursday,January,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1613.75,1850.9453125,1709.9872611464968,1627.604761904762,1679.3596835134508,1681.870455059147,1701.4624197401306,1869.57837191426,1680.6150692862989,1663.6556312070284,1679.196186868687
2017-01-27,2017,1727.0,0,21.7,24.2,17.5,1020.7,53.0,10.0,10.4,14.8,0,0,0,Friday,January,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1666.55,1868.880859375,1709.9872611464968,1695.1984732824428,1724.9027818694467,1717.414929196841,1711.573545636425,1883.9517905249272,1721.1588555331439,1727.6,1728.8472359963268
2017-01-28,2017,1728.0,0,24.7,29.0,20.8,1017.9,54.0,10.0,14.8,24.1,0,0,0,Saturday,January,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1703.5,1785.685546875,1753.25,1757.4315352697095,1768.11,1724.9363636363637,1749.6313375095442,1789.8465205051555,1746.523181818182,1662.44,1716.7454545454545
2017-01-29,2017,1697.0,0,26.8,30.2,22.5,1016.0,59.0,10.0,17.4,27.8,0,0,0,Sunday,January,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1808.85,1633.724609375,1697.0,1740.8333333333333,1687.18,1697.0,1705.241909130143,1706.1307990385894,1692.0900000000001,1675.4363530961793,1697.0
2017-01-30,2017,2014.0,0,27.7,32.0,24.5,1013.1,69.0,10.0,16.5,22.2,0,0,0,Monday,January,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1947.65,1841.548828125,2041.8333333333333,2016.1762295081967,2006.59,2014.0,1982.3933215932793,1829.5208734674259,2010.295,1957.15,2014.0
2017-01-31,2017,2018.0,0,27.3,33.5,24.5,1011.3,72.0,9.5,13.7,25.9,1,0,0,Tuesday,January,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1896.0,1874.453125,2022.0,2005.3362445414848,2048.13,2011.081818181818,1971.795720268787,1879.1667197108914,2029.605909090909,1998.33,2004.9363636363637
2017-02-01,2017,1766.0,0,25.5,30.0,19.6,1008.1,68.0,9.5,13.1,22.2,1,0,0,Wednesday,February,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1826.55,1902.9599609375,2013.5,1761.3326488706366,1862.7145,1938.1606187929717,1836.3871291256194,1895.9215484752683,1900.437559396486,1915.43,1810.1830659536542
2017-02-02,2017,1782.0,0,24.0,30.2,21.0,1008.2,70.0,9.8,13.7,24.1,0,0,0,Thursday,February,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1886.5,1890.3623046875,1735.3181818181818,1761.3326488706366,1791.4820000000002,1780.83488292011,1795.8308756407796,1901.1956779279965,1786.1584414600552,1808.6258823529413,1782.4227272727273
2017-02-03,2017,1822.0,0,24.7,27.0,21.4,1008.9,65.0,10.0,12.4,20.6,0,0,0,Friday,February,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1733.35,1898.9853515625,1822.0,1878.6651583710407,1835.27,1822.3560606060607,1853.6540592904012,1905.4759353300037,1828.8130303030302,1868.05,1822.0
2017-02-04,2017,1684.0,0,25.1,27.4,22.0,1007.5,77.0,9.7,19.1,27.8,1,1,0,Saturday,February,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1708.05,1782.9365234375,1665.0,1760.3224568138196,1771.9,1721.7181818181818,1766.5840479687458,1770.7518475022887,1746.809090909091,1645.73,1756.909090909091
2017-02-05,2017,1353.0,0,21.0,23.0,19.0,1001.8,87.0,9.0,14.4,22.2,1,0,0,Sunday,February,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1616.35,1576.0205078125,1353.0,1497.9724770642201,1389.04,1353.148484848485,1431.0469420418146,1683.5679880772318,1371.0942424242426,1555.61,1353.0
2017-02-06,2017,1551.0,0,18.1,24.0,14.5,1013.6,63.0,10.0,14.3,24.1,0,0,0,Monday,February,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1565.6,1788.2119140625,1654.4634146341464,1595.388888888889,1591.4361716791975,1555.512496556474,1630.0903205186899,1799.7189356377198,1573.4743341178357,1545.33,1567.7931844418206
2017-02-07,2017,1629.0,0,21.5,25.0,16.5,1014.7,52.0,10.0,8.1,18.3,0,0,0,Tuesday,February,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1653.05,1861.0732421875,1709.9872611464968,1686.5766423357663,1652.3090542775938,1644.406805307274,1701.5928646652835,1868.7314389970882,1648.3579297924339,1653.71,1634.233960089618
2017-02-08,2017,1689.0,0,22.4,25.4,19.9,1014.3,67.0,10.0,17.8,25.9,0,0,0,Wednesday,February,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1699.7,1900.7509765625,1709.9872611464968,1714.228125,1712.4772207792207,1698.723367424297,1771.3722938191902,1909.074661735569,1705.600294101759,1698.0311111111112,1690.2340909090908
2017-02-09,2017,1716.0,0,23.7,27.0,21.0,1013.5,70.0,10.0,14.6,24.1,0,0,0,Thursday,February,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1815.1,1908.0458984375,1735.3181818181818,1759.8191721132898,1747.9343333333331,1719.703621168394,1802.4461012244146,1913.4273177645719,1733.8189772508636,1670.73,1718.2218614718613
2017-02-10,2017,1801.0,0,24.3,28.0,22.3,1012.6,83.0,8.2,17.4,31.7,1,0,0,Friday,February,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1699.05,1911.2412109375,1735.3181818181818,1761.3326488706366,1802.41,1800.8131818181819,1812.8617742715064,1915.1483199259567,1801.6115909090909,1772.4758823529412,1801.1409090909092
2017-02-11,2017,1667.0,0,23.4,28.0,21.0,1012.9,76.0,10.0,21.7,35.2,0,0,0,Saturday,February,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1706.8,1799.9130859375,1665.0,1755.4913793103449,1689.07,1667.0,1716.2067012628845,1807.5379434140357,1678.0349999999999,1650.4137948717948,1667.0
2017-02-12,2017,1498.0,0,21.9,26.0,21.0,1011.3,88.0,7.9,14.1,24.1,1,0,0,Sunday,February,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1616.05,1605.9091796875,1505.75,1612.892857142857,1487.37,1498.0272727272727,1504.6538792031774,1703.631493199378,1492.6986363636363,1500.41,1498.0
2017-02-13,2017,1699.0,0,21.8,25.0,19.0,1010.0,86.0,8.2,20.4,37.0,1,0,0,Monday,February,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1649.6,1824.7119140625,1654.4634146341464,1666.1675392670156,1681.5144444444443,1697.807138429752,1708.5914744172092,1821.981590066045,1689.6607914370982,1665.1528985507248,1699.3337932900433
2017-02-14,2017,1773.0,0,23.6,26.0,19.3,1009.2,80.0,7.9,9.3,16.5,1,0,0,Tuesday,February,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1691.85,1864.8740234375,1735.3181818181818,1704.5663430420711,1752.2765852130326,1772.4756180376367,1733.8518654653155,1873.6796884205876,1762.3761016253347,1779.912,1773.0863636363636
2017-02-15,2017,1853.0,0,26.1,32.0,21.0,1012.2,65.0,9.7,7.4,18.3,0,0,0,Wednesday,February,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1739.85,1909.1357421875,2013.5,1999.5220588235295,1907.48,1996.6545454545455,1880.382152249118,1905.0811137086134,1952.0672727272727,1933.95,1872.1363636363637
2017-02-16,2017,1920.0,0,26.3,31.8,23.9,1011.8,70.0,10.0,9.4,16.5,0,0,0,Thursday,February,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1822.05,1915.5439453125,1924.4444444444443,2002.4387351778655,1937.73,1920.0,1974.1003414139334,1917.8902662757291,1928.865,2094.43,1920.3181818181818
2017-02-17,2017,1875.0,0,24.7,30.0,21.7,1007.4,83.0,10.0,13.0,20.6,0,0,0,Friday,February,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1676.55,1887.1611328125,1913.0,1834.9638554216867,1864.9,1874.8515151515153,1838.7485581438816,1902.9791653887664,1869.8757575757577,1817.4233333333334,1874.1666666666667
2017-02-18,2017,1654.0,0,25.7,30.2,21.0,1008.0,72.0,9.7,16.3,37.0,1,1,0,Saturday,February,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1781.05,1786.6708984375,1689.0,1779.046875,1698.44,1654.0,1727.194578773707,1766.4162819063515,1676.22,1633.651,1654.0
2017-02-19,2017,1589.0,0,25.5,29.0,22.0,1014.1,75.0,10.0,8.3,13.0,0,0,0,Sunday,February,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1741.15,1634.4970703125,1589.0,1709.352668213457,1592.82,1589.0,1631.336629535383,1714.9086989636749,1590.9099999999999,1588.76,1589.0
2017-02-20,2017,1985.0,0,26.7,30.0,23.5,1015.1,76.0,10.0,11.5,18.3,0,0,0,Monday,February,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1811.5,1865.4755859375,2049.0,2000.2764976958526,1988.15,1985.0,2000.9806142953653,1847.134904488882,1986.575,1953.54,1984.9818181818182
