model,rmse
KNeighbors,7.9885506504665384
LinearReg,6.233056710243669
MultiLayerPerceptron,5.917768315688815
AdaBoost,5.875286723502317
DecisionTree,5.639714525983843
StackingReg,4.967758469284202
GradientBoosting,4.70070271579849
ExtraTrees,4.669217731161243
ExtraTrees_simp,4.659283589537541
RandomForest,4.648360547839808
VotingReg,4.546851519941632
